year,month,time_start,time_end,dolphin,calf,every20mins,echo,bp,whist,total,noiseratio,season,perch,toad,trout,drum
2017,December,12:03,12:17,36,7,12:20,89,0,3,92,0.94,Fall,0,0,2,0
2018,January,13:24,13:30,87,15,13:20,179,107,140,426,0.84,Winter,0,0,0,2
2018,February,11:33,11:47,107,18,11:40,38,14,62,114,0.92,Winter,0,0,0,0
2018,March,13:08,13:17,102,15,13:20,53,0,41,94,0.79,Spring,0,23,0,0
2018,April,12:44,13:14,75,14,12:40,51,7,2,60,0.90,Spring,8,32,0,0
2018,May,9:58,9:59,60,15,10:00,4,1,9,14,0.75,Spring,2,41,6,0
2018,June,13:54,14:02,58,11,14:00,55,6,1,62,1.00,Summer,0,8,3,0
2018,July,9:39,9:45,32,8,9:40,10,0,0,10,1.00,Summer,3,2,0,0
2018,August,12:50,12:52,49,13,13:00,50,5,1,56,0.83,Summer,0,0,6,2
2018,September,8:28,8:42,121,25,8:40,120,7,6,133,0.82,Fall,0,0,2,5
2018,October,11:20,11:26,81,17,11:20,79,10,0,89,0.85,Fall,0,0,2,2
2018,November,12:37,13:00,107,23,13:00,235,24,13,272,0.85,Fall,0,0,0,0
2018,December,8:37,9:27,59,15,9:00,71,6,0,77,0.92,Fall,0,2,2,0
2019,January,13:19,13:33,55,6,13:20,38,23,31,92,0.65,Winter,0,2,0,0
2019,February,10:09,10:40,41,10,10:40,74,4,37,115,0.88,Winter,0,2,0,0
2019,March,12:30,13:20,45,11,13:00,41,5,3,49,0.64,Spring,0,8,0,0
2019,April,8:59,9:12,73,10,9:00,3,0,12,15,0.63,Spring,9,25,4,0
2019,May,9:27,10:17,31,7,10:00,8,2,0,10,0.50,Spring,0,23,5,0
