site,date,year,time_start,time_end,dolphin,calf,echo,bp,whist,total,noiseratio,season,perch,toad,trout,drum,,,,SITE,,,,,,,
Aquarium,December,2017,10:05,10:11,9,2,7,0,0,7,1,Fall,0,0,0,0,,,,File Detections,,,,,Total vocalizations,,
Ashley1,December,2017,14:29,14:33,2,0,22,0,0,22,1,Fall,0,0,0,0,,,,Total files,Echolocation (%),Burst pulse sounds (%),Whistles      (%),,Echolocation (%),Burst pulse sounds (%),Whistles    (%)
Ashley2,December,2017,13:28,13:36,1,0,0,0,0,0,1,Fall,0,0,0,0,,,,,,,,,,,
Confluence,December,2017,10:55,11:07,8,2,16,0,0,16,1,Fall,0,0,0,0,,,Wando River,,,,,,,,
Mouth,December,2017,8:52,8:57,7,2,12,0,3,15,0.67,Fall,0,0,2,0,,,Drum Island,,,,,,,,
Terminal,December,2017,12:03,12:17,9,1,32,0,0,32,1,Fall,0,0,0,0,,,SC Aquarium,,,,,,,,
Aquarium,January,2018,11:12,11:22,12,3,106,96,68,270,1,Winter,0,0,0,2,,,Ft Sumter,,,,,,,,
Ashley1,January,2018,10:06,10:20,11,3,4,0,0,4,1,Winter,0,0,0,0,,,Ashley River,,,,,,,,
Ashley2,January,2018,9:17,9:23,12,1,35,0,16,51,0,Winter,0,0,0,0,,,Citadel,,,,,,,,
Confluence,January,2018,12:02,12:17,21,3,3,0,50,53,1,Winter,0,0,0,0,,,,,,,,,,,
Mouth,January,2018,14:16,14:21,5,1,6,3,0,9,1,Winter,0,0,0,0,,,,,,,,,,,
Terminal,January,2018,13:24,13:30,26,4,25,8,6,39,1,Winter,0,0,0,0,,,,,,,,,,,
Aquarium,February,2018,9:56,10:03,28,5,14,3,44,61,1,Winter,0,0,0,0,,,,,,,,,,,
Ashley1,February,2018,12:58,13:02,15,3,1,0,0,1,0.57,Winter,0,0,0,0,,,,,,,,,,,
Ashley2,February,2018,13:18,13:29,4,0,2,0,0,2,1,Winter,0,0,0,0,,,,,,,,,,,
Confluence,February,2018,10:55,11:02,16,3,5,1,4,10,1,Winter,0,0,0,0,,,,,,,,,,,
Mouth,February,2018,8:42,8:47,17,1,4,3,4,11,1,Winter,0,0,0,0,,,,,,,,,,,
Terminal,February,2018,11:33,11:47,27,6,12,7,10,29,1,Winter,0,0,0,0,,,,,,,,,,,
Aquarium,March,2018,14:48,15:06,24,5,2,0,9,11,1,Spring,0,0,0,0,,,,,,,,,,,
Ashley1,March,2018,11:50,11:55,10,1,0,0,0,0,0.5,Spring,0,2,0,0,,,,,,,,,,,
Ashley2,March,2018,10:07,10:23,2,0,0,0,0,0,0,Spring,0,0,0,0,,,,,,,,,,,
Confluence,March,2018,14:30,14:39,21,6,3,0,22,25,1,Spring,0,6,0,0,,,,,,,,,,,
Mouth,March,2018,9:10,9:24,22,1,6,0,2,8,0.6,Spring,0,11,0,0,,,,,,,,,,,
Terminal,March,2018,13:08,13:17,23,2,42,0,8,50,1,Spring,0,4,0,0,,,,,,,,,,,
Aquarium,Aprill,2018,10:52,11:02,17,2,50,7,2,59,1,Spring,0,4,0,0,,,,,,,,,,,
Ashley1,Aprill,2018,9:07,9:17,13,2,0,0,0,0,0.8,Spring,4,10,0,0,,,,,,,,,,,
Ashley2,Aprill,2018,9:33,9:48,1,0,0,0,0,0,0.5,Spring,0,1,0,0,,,,,,,,,,,
Confluence,Aprill,2018,12:10,12:23,16,3,0,0,0,0,1,Spring,2,9,0,0,,,,,,,,,,,
Mouth,Aprill,2018,14:19,14:45,16,3,0,0,0,0,1,Spring,2,2,0,0,,,,,,,,,,,
Terminal,Aprill,2018,12:44,13:14,16,2,4,0,0,4,1,Spring,0,6,0,0,,,,,,,,,,,
Aquarium,May,2018,11:09,11:59,8,1,0,0,0,0,1,Spring,0,6,4,0,,,,,,,,,,,
Ashley1,May,2018,12:08,12:58,1,0,0,0,0,0,1,Spring,0,4,0,0,,,,,,,,,,,
Ashley2,May,2018,12:59,13:49,6,2,0,0,0,0,0,Spring,0,6,2,0,,,,,,,,,,,
Confluence,May,2018,10:30,10:47,10,3,4,0,2,6,1,Spring,0,8,0,0,,,,,,,,,,,
Mouth,May,2018,8:22,8:30,10,2,0,0,0,0,0.5,Spring,2,4,0,0,,,,,,,,,,,
Terminal,May,2018,9:58,9:59,25,7,0,1,7,8,0.83,Spring,0,13,0,0,,,,,,,,,,,
Aquarium,June,2018,12:11,12:14,10,1,37,6,0,43,1,Summer,0,0,2,0,,,,,,,,,,,
Ashley1,June,2018,15:46,16:36,4,2,0,0,0,0,1,Summer,0,0,0,0,,,,,,,,,,,
Ashley2,June,2018,15:10,15:21,5,1,0,0,0,0,1,Summer,0,2,0,0,,,,,,,,,,,
Confluence,June,2018,13:06,13:11,13,3,18,0,1,19,1,Summer,0,2,0,0,,,,,,,,,,,
Mouth,June,2018,10:59,11:15,21,2,0,0,0,0,1,Summer,0,2,1,0,,,,,,,,,,,
Terminal,June,2018,13:54,14:02,5,2,0,0,0,0,1,Summer,0,2,0,0,,,,,,,,,,,
Aquarium,July,2018,11:34,11:50,19,3,10,0,0,10,1,Summer,0,0,0,0,,,,,,,,,,,
Ashley1,July,2018,12:06,12:56,1,0,0,0,0,0,1,Summer,0,2,0,0,,,,,,,,,,,
Ashley2,July,2018,13:12,13:20,1,0,0,0,0,0,1,Summer,3,0,0,0,,,,,,,,,,,
Mouth,July,2018,8:08,8:58,0,0,0,0,0,0,1,Summer,0,0,0,0,,,,,,,,,,,
Terminal,July,2018,9:39,9:45,11,5,0,0,0,0,1,Summer,0,0,0,0,,,,,,,,,,,
Aquarium,August,2018,13:57,14:01,10,2,45,1,1,47,1,Summer,0,0,0,0,,,,,,,,,,,
Ashley1,August,2018,9:43,9:59,4,0,0,0,0,0,1,Summer,0,0,1,0,,,,,,,,,,,
Ashley2,August,2018,11:15,11:25,10,3,1,4,0,5,0.5,Summer,0,0,0,0,,,,,,,,,,,
Confluence,August,2018,13:20,13:40,13,5,0,0,0,0,1,Summer,0,0,2,2,,,,,,,,,,,
Mouth,August,2018,8:58,9:15,5,1,0,0,0,0,1,Summer,0,0,1,0,,,,,,,,,,,
Terminal,August,2018,12:50,12:52,6,2,3,0,0,3,0.67,Summer,0,0,1,0,,,,,,,,,,,
Aquarium,September,2018,11:03,11:04,20,3,37,5,0,42,1,Fall,0,0,1,0,,,,,,,,,,,
Ashley1,September,2018,12:23,12:28,21,4,48,0,6,54,1,Fall,0,0,0,0,,,,,,,,,,,
Ashley2,September,2018,12:50,12:58,4,0,3,0,0,3,0.5,Fall,0,0,0,0,,,,,,,,,,,
Confluence,September,2018,10:09,10:27,9,3,2,0,0,2,1,Fall,0,0,1,3,,,,,,,,,,,
Mouth,September,2018,14:48,14:56,31,5,0,0,0,0,0.67,Fall,0,0,0,2,,,,,,,,,,,
Terminal,September,2018,8:28,8:42,36,10,30,2,0,32,0.5,Fall,0,0,0,0,,,,,,,,,,,
Aquarium,October,2018,10:04,10:22,17,6,65,9,0,74,1,Fall,0,0,0,0,,,,,,,,,,,
Ashley1,October,2018,12:35,13:25,10,2,0,0,0,0,0.67,Fall,0,0,0,0,,,,,,,,,,,
Ashley2,October,2018,13:38,13:43,2,0,1,0,0,1,0.5,Fall,0,0,0,0,,,,,,,,,,,
Confluence,October,2018,10:46,,12,2,2,0,0,2,1,Fall,0,0,2,0,,,,,,,,,,,
Mouth,October,2018,8:57,9:03,20,4,1,0,0,1,1,Fall,0,0,0,0,,,,,,,,,,,
Terminal,October,2018,11:20,11:26,11,1,1,0,0,1,0.5,Fall,0,0,0,2,,,,,,,,,,,
Aquarium,November,2018,14:47,14:50,33,10,120,22,7,149,1,Fall,0,0,0,0,,,,,,,,,,,
Ashley1,November,2018,10:14,10:18,6,1,0,0,0,0,0.67,Fall,0,0,0,0,,,,,,,,,,,
Ashley2,November,2018,11:10,11:25,2,0,3,0,0,3,0.5,Fall,0,0,0,0,,,,,,,,,,,
Confluence,November,2018,13:35,13:43,20,5,82,2,0,84,1,Fall,0,0,0,0,,,,,,,,,,,
Mouth,November,2018,8:31,8:47,20,1,7,0,3,10,1,Fall,0,0,0,0,,,,,,,,,,,
Terminal,November,2018,12:37,13:00,26,6,23,0,3,26,0.5,Fall,0,0,0,0,,,,,,,,,,,
Aquarium,December,2018,11:12,,15,5,39,6,0,45,1,Fall,0,0,0,0,,,,,,,,,,,
Ashley1,December,2018,15:02,15:20,17,4,3,0,0,3,1,Fall,0,0,0,0,,,,,,,,,,,
Ashley2,December,2018,14:24,14:33,1,0,0,0,0,0,1,Fall,0,0,0,0,,,,,,,,,,,
Confluence,December,2018,10:10,10:16,9,2,23,0,0,23,0.83,Fall,0,0,0,0,,,,,,,,,,,
Mouth,December,2018,11:55,12:16,6,1,3,0,0,3,1,Fall,0,2,0,0,,,,,,,,,,,
Terminal,December,2018,8:37,9:27,4,1,3,0,0,3,0.75,Winter,0,0,2,0,,,,,,,,,,,
Aquarium,January,2019,10:54,10:57,10,1,15,6,4,25,1,Winter,0,0,0,0,,,,,,,,,,,
Ashley1,January,2019,8:29,,7,1,5,0,0,5,0.5,Winter,0,0,0,0,,,,,,,,,,,
Ashley2,January,2019,9:17,9:56,4,1,2,0,0,2,0,Winter,0,0,0,0,,,,,,,,,,,
Confluence,January,2019,11:39,11:59,10,1,16,17,13,46,1,Winter,0,2,0,0,,,,,,,,,,,
Mouth,January,2019,13:54,14:18,11,1,0,0,0,0,0.67,Winter,0,0,0,0,,,,,,,,,,,
Terminal,January,2019,13:19,13:33,13,1,0,0,14,14,0,Winter,0,0,0,0,,,,,,,,,,,
Aquarium,February,2019,12:24,12:31,7,1,58,2,2,62,1,Winter,0,0,0,0,,,,,,,,,,,
Ashley1,February,2019,13:29,13:39,6,3,4,0,1,5,0.67,Winter,0,0,0,0,,,,,,,,,,,
Ashley2,February,2019,14:26,14:39,4,0,0,0,0,0,0.5,Winter,0,0,0,0,,,,,,,,,,,
Confluence,February,2019,11:37,11:40,7,2,8,1,29,38,1,Winter,0,0,0,0,,,,,,,,,,,
Mouth,February,2019,8:57,9:16,5,0,0,0,0,0,1,Winter,0,0,0,0,,,,,,,,,,,
Terminal,February,2019,10:09,10:40,12,4,4,1,5,10,1,Winter,0,2,0,0,,,,,,,,,,,
Aquarium,March,2019,10:20,10:28,13,4,0,0,0,0,1,Spring,0,0,0,0,,,,,,,,,,,
Ashley2,March,2019,14:04,,6,0,2,0,1,3,0,Spring,0,0,0,0,,,,,,,,,,,
Confluence,March,2019,9:53,10:01,6,3,13,0,0,13,1,Spring,0,2,0,0,,,,,,,,,,,
Mouth,March,2019,12:02,12:10,6,1,24,0,0,24,0.75,Spring,0,2,0,0,,,,,,,,,,,
Terminal,March,2019,9:07,,11,2,2,5,2,9,0.33,Spring,0,4,0,0,,,,,,,,,,,
Ashley1,March,2019,12:30,13:20,3,1,0,0,0,0,1,Spring,0,0,0,0,,,,,,,,,,,
Aquarium,Aprill,2019,10:50,11:04,13,4,0,0,0,0,0.75,Spring,0,2,0,0,,,,,,,,,,,
Ashley1,Aprill,2019,13:32,13:36,11,1,0,0,0,0,0.4,Spring,0,8,0,0,,,,,,,,,,,
Ashley2,Aprill,2019,11:48,11:53,6,0,0,0,0,0,0.5,Spring,0,0,0,0,,,,,,,,,,,
Confluence,Aprill,2019,9:36,9:57,13,1,1,0,8,9,0.75,Spring,2,3,2,0,,,,,,,,,,,
Mouth,Aprill,2019,14:25,14:55,18,2,0,0,1,1,0.5,Spring,5,5,2,0,,,,,,,,,,,
Terminal,Aprill,2019,8:59,9:12,12,2,2,0,3,5,0.8,Spring,2,7,0,0,,,,,,,,,,,
Aquarium,May,2019,11:17,12:07,3,1,0,0,0,0,0.67,Spring,0,2,0,0,,,,,,,,,,,
Ashley1,May,2019,14:17,14:32,15,3,7,0,0,7,0.75,Spring,0,4,4,0,,,,,,,,,,,
Ashley2,May,2019,12:27,13:17,0,0,1,2,0,3,0,Spring,0,0,0,0,,,,,,,,,,,
Confluence,May,2019,10:38,10:59,4,1,0,0,0,0,0,Spring,0,5,0,0,,,,,,,,,,,
Mouth,May,2019,8:30,8:43,9,2,0,0,0,0,0.67,Spring,0,8,1,0,,,,,,,,,,,
Terminal,May,2019,9:27,10:17,0,0,0,0,0,0,0.5,Spring,0,4,0,0,,,,,,,,,,,
