site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Aquarium,December,12/19/17,9:28,9:36,0:08,2,1,1,9:40,3,0,0,3,1,Fall,0,0,0,0
Aquarium,December,12/19/17,9:51,,,3,3,0,10:00,4,0,0,4,1,Fall,0,0,0,0
Aquarium,December,12/19/17,10:05,10:11,0:06,4,3,1,10:20,0,0,0,0,1,Fall,0,0,0,0
Ashley1,December,12/19/17,14:37,14:45,0:08,1,1,0,14:40,7,0,0,7,1,Fall,0,0,0,0
Ashley1,December,12/19/17,14:29,14:33,0:04,1,1,0,14:20,15,0,0,15,1,Fall,0,0,0,0
Ashley2,December,12/19/17,13:28,13:36,0:08,1,1,0,13:40,0,0,0,0,1,Fall,0,0,0,0
Confluence,December,12/19/17,10:19,10:28,0:09,2,1,1,10:20,6,0,0,6,1,Fall,0,0,0,0
Confluence,December,12/19/17,10:33,10:37,0:04,2,1,1,10:40,5,0,0,5,1,Fall,0,0,0,0
Confluence,December,12/19/17,10:43,10:54,0:11,3,3,0,10:40,5,0,0,5,1,Fall,0,0,0,0
Confluence,December,12/19/17,10:55,11:07,0:12,1,1,0,11:00,0,0,0,0,1,Fall,0,0,0,0
Mouth,December,12/19/17,8:14,8:30,0:16,3,3,0,8:20,0,0,1,1,1,Fall,0,0,1,0
Mouth,December,12/19/17,8:36,8:43,0:07,2,1,1,8:40,0,0,2,2,1,Fall,0,0,1,0
Mouth,December,12/19/17,8:52,8:57,0:05,2,1,1,9:00,12,0,0,12,0,Fall,0,0,0,0
Terminal,December,12/19/17,11:25,11:39,0:14,3,3,0,11:20,14,0,0,14,1,Fall,0,0,0,0
Terminal,December,12/19/17,11:45,11:54,0:09,2,2,0,11:40,5,0,0,5,1,Fall,0,0,0,0
Terminal,December,12/19/17,11:49,12:01,0:12,1,1,0,12:00,3,0,0,3,1,Fall,0,0,0,0
Terminal,December,12/19/17,12:03,12:17,0:14,3,2,1,12:20,10,0,0,10,1,Fall,0,0,0,0
Aquarium,September,9/26/18,11:12,11:22,0:10,2,1,1,11:20,18,3,0,21,1,Fall,0,0,1,0
Aquarium,September,9/26/18,10:36,10:57,0:21,8,7,1,10:40,15,2,0,17,1,Fall,0,0,0,0
Aquarium,September,9/26/18,11:03,11:04,0:01,2,1,1,11:00,4,0,0,4,1,Fall,0,0,0,0
Ashley1,September,9/26/18,11:45,12:15,0:30,10,8,2,12:00,0,0,0,0,1,Fall,0,0,0,0
Ashley1,September,9/26/18,12:23,12:28,0:05,1,1,0,12:20,2,0,0,2,1,Fall,0,0,0,0
Ashley2,September,9/26/18,12:50,12:58,0:08,2,2,0,13:00,0,0,0,0,1,Fall,0,0,0,0
Confluence,September,9/26/18,10:09,10:27,0:18,6,3,3,10:20,0,0,0,0,1,Fall,0,0,0,0
Mouth,September,9/26/18,14:20,14:37,0:17,25,21,4,14:20,0,0,0,0,1,Fall,0,0,0,0
Mouth,September,9/26/18,14:48,14:56,0:08,6,5,1,15:00,0,0,0,0,1,Fall,0,0,0,0
Terminal,September,9/26/18,8:59,9:28,0:29,13,9,4,9:00,0,0,0,0,0,Fall,0,0,0,0
Terminal,September,9/26/18,8:28,8:42,0:14,4,3,1,8:40,8,0,0,8,1,Fall,0,0,0,0
